Filename:	C:\Program Files\Pyris\Data\Elena S\DSC 10-30\pla_ori_1030.pdid.pdid 
Operator ID:	 
Sample ID:	PLA 
Comment: 	pla_ori_1031 run 2 
Serial Number:	536N7042301 
Data Collected:	10/31/2023 11:33:23 AM 
Sample Weight:	19.900 mg 
Display Weight:	19.900 
Validation 
Validated:	No 
By:	 
Date:	 
Calibration Information 
Filename:	C:\Program Files\Pyris\Calibrations\05-25-2023_DiamDSC_He-Cryo_1.pdic 
Date/Time:	 
Initial Conditions 
Temperature:	 0.00 °C 
Y Initial:	20.00 mW 
Sample Rate:	Fast     
Baseline Filename:	C:\Program Files\Pyris\Data\Elena S\DSC 10-30\backgr2_1030.pdid.pdid 
End Condition:	Go To Load 
Total Points in Run:	3479 
Method Steps: 
Pre-Run Actions 
Start the Run 
	Action occurs Immediately 
Switch the Gas to Helium at 20.0 ml/min  
	Action occurs Immediately 
1)	Hold for 1.0 min at 0.00°C 
 
2)	Heat from 0.00°C to 220.00°C at 5.00°C/min 
 
3)	Hold for 1.0 min at 220.00°C 
 
4)	Cool from 220.00°C to 0.00°C at 20.00°C/min 
 
5)	Hold for 1.0 min at 0.00°C 
 
1) Diamond DSC Isothermal 
	Time     	Unsubtracted	Baseline     	Program     	Sample     	Approx.     	Heat Flow      
	          	Heat Flow     	Heat Flow     	Temperature	Temperature	Gas Flow     	Calibration 
	6.750000	0.393434	-3.085313	28.754000	44.566000	0.000000	1.170320 
	6.766667	0.368155	-3.077004	28.837000	44.653000	0.000000	1.170320 
	6.783333	0.342993	-3.068812	28.920000	44.741000	0.000000	1.170320 
	6.800000	0.317948	-3.060503	29.004000	44.826000	0.000000	1.170320 
	6.816667	0.293020	-3.052076	29.087000	44.916000	0.000000	1.170320 
	6.833333	0.268210	-3.043299	29.170000	44.996000	0.000000	1.170320 
	6.850000	0.243282	-3.033936	29.254000	45.084000	0.000000	1.170320 
	6.866667	0.218354	-3.024457	29.337000	45.169000	0.000000	1.170320 
	6.883333	0.193426	-3.014977	29.420000	45.258000	0.000000	1.170320 
	6.900000	0.168616	-3.005615	29.504000	45.342000	0.000000	1.170320 
	6.916667	0.143922	-2.996720	29.587000	45.429000	0.000000	1.170320 
	6.933333	0.119345	-2.987943	29.670000	45.515000	0.000000	1.170320 
	6.950000	0.095002	-2.979165	29.754000	45.600000	0.000000	1.170320 
	6.966667	0.070543	-2.970505	29.837000	45.687000	0.000000	1.170320 
	6.983333	0.046083	-2.961962	29.920000	45.774000	0.000000	1.170320 
	7.000000	0.021857	-2.953769	30.004000	45.862000	0.000000	1.170320 
	7.016667	-0.002251	-2.945577	30.087000	45.947000	0.000000	1.170320 
	7.033333	-0.026243	-2.937619	30.170000	46.033000	0.000000	1.170320 
	7.050000	-0.050117	-2.929778	30.254000	46.119000	0.000000	1.170320 
	7.066667	-0.073758	-2.921703	30.337000	46.204000	0.000000	1.170320 
	7.083333	-0.097398	-2.912925	30.420000	46.291000	0.000000	1.170320 
	7.100000	-0.121039	-2.904031	30.504000	46.379000	0.000000	1.170320 
	7.116667	-0.144445	-2.894785	30.587000	46.469000	0.000000	1.170320 
	7.133333	-0.167734	-2.885306	30.670000	46.552000	0.000000	1.170320 
	7.150000	-0.190907	-2.876060	30.754000	46.637000	0.000000	1.170320 
	7.166667	-0.213728	-2.867634	30.837000	46.727000	0.000000	1.170320 
	7.183333	-0.236432	-2.859442	30.920000	46.812000	0.000000	1.170320 
	7.200000	-0.258902	-2.851250	31.004000	46.898000	0.000000	1.170320 
	7.216667	-0.281255	-2.842706	31.087000	46.985000	0.000000	1.170320 
	7.233333	-0.303491	-2.833695	31.170000	47.073000	0.000000	1.170320 
